kmer,hubness,count,k,community
BONE MORPHOGENESIS,0.010991165749169295,4,2,22
ENDOCHONDRAL BONE,0.010991165749169295,4,2,22
CELL CELL ADHESION,0.01434224657487704,6,3,23
ADHESION VIA PLASMA,0.025880771012225863,4,3,23
CELL ADHESION VIA,0.025880771012225863,4,3,23
VIA PLASMA MEMBRANE,0.025880771012225863,4,3,23
CELL JUNCTION ORGANIZATION,0.09434943291892833,3,3,23
CELL ADHESION MOLECULES,0.025117830214509845,3,3,23
MEMBRANE CELL ADHESION,0.025117830214509845,3,3,23
PLASMA MEMBRANE CELL,0.025117830214509845,3,3,23
CELL ADHESION,0.017773976288016514,11,2,23
CELL CELL,0.04233283818738661,9,2,23
REGULATION RESPONSE WOUNDING,0.0010505510071998128,3,3,24
FIBRIN CLOT FORMATION,0.0004722164965290406,3,3,24
PATHWAY FIBRIN CLOT,0.0004722164965290406,3,3,24
FIBRIN CLOT,0.0005552638620712574,5,2,24
REGULATION RESPONSE,0.0010505510071998128,3,2,24
RESPONSE WOUNDING,0.0010505510071998128,3,2,24
POSITIVE REGULATION,0.0006597670925798086,3,2,24
CLOT FORMATION,0.0004722164965290406,3,2,24
PATHWAY FIBRIN,0.0004722164965290406,3,2,24
REGULATION,0.012686876420575302,10,1,24
TOLL LIKE RECEPTOR,0.03607118563323052,6,3,25
TGF BETA RECEPTOR,0.004040822884847769,4,3,25
LIKE RECEPTOR SIGNALING,0.012222113657348663,3,3,25
RECEPTOR SIGNALING PATHWAY,0.012222113657348663,3,3,25
BETA RECEPTOR SIGNALING,0.0038590587248069296,3,3,25
ACTIVATION TRANSMISSION SIGNAL,0.0029999172504146733,3,3,25
TRANSMISSION SIGNAL NUCLEUS,0.0029999172504146733,3,3,25
LIKE RECEPTOR,0.03250630696263034,7,2,25
RECEPTOR SIGNALING,0.00732799256131536,7,2,25
TOLL LIKE,0.03607118563323052,6,2,25
TRANSCRIPTION FACTOR BINDING,0.012733837931603618,9,3,26
RNA POLYMERASE II,0.007595824415626041,9,3,26
SPECIFIC DNA BINDING,0.010436573284737969,7,3,26
RECEPTOR SIGNALING PATHWAY,0.009639055866146435,6,3,26
SEQUENCE SPECIFIC DNA,0.008159853389035429,6,3,26
DNA BINDING TRANSCRIPTION,0.016589132736331634,5,3,26
HORMONE RECEPTOR BINDING,0.018568907281305967,4,3,26
REGION DNA BINDING,0.0016141545365805344,4,3,26
REGULATORY REGION DNA,0.0016141545365805344,4,3,26
FOXO MEDIATED TRANSCRIPTION,0.0015300428075246627,4,3,26
DNA DOUBLE STRAND,0.009257484809998032,3,3,27
DOUBLE STRAND BREAK,0.009257484809998032,3,3,27
RRNA EXPRESSION,0.016729865122683596,4,2,27
EPIGENETIC REGULATION,0.01590197747040062,3,2,27
TRANSCRIPTIONAL REGULATION,0.015336633806245323,3,2,27
GENE EXPRESSION,0.013119280424673113,3,2,27
DNA DOUBLE,0.009257484809998032,3,2,27
DOUBLE STRAND,0.009257484809998032,3,2,27
STRAND BREAK,0.009257484809998032,3,2,27
DNA,0.010420412027752422,11,1,27
CARBOHYDRATE METABOLIC PROCESS,0.07456212244132178,3,3,28
METABOLIC PROCESS,0.09295118252438882,5,2,28
BIOSYNTHETIC PROCESS,0.11258904899176714,3,2,28
CELLULAR CARBOHYDRATE,0.08654273763647045,3,2,28
CARBOHYDRATE METABOLIC,0.07456212244132178,3,2,28
REGULATION CARBOHYDRATE,0.07400564983722542,3,2,28
REGULATION CELLULAR,0.04542708844846242,3,2,28
PROCESS,0.08679603084079511,10,1,28
REGULATION,0.05631849442751656,7,1,28
CARBOHYDRATE,0.08027419373684794,6,1,28
EXCHANGE FACTOR ACTIVITY,0.01577142787600018,8,3,29
NUCLEOTIDE EXCHANGE FACTOR,0.01577142787600018,8,3,29
GUANYL NUCLEOTIDE EXCHANGE,0.017917398419717675,7,3,29
PROTEIN SERINE THREONINE,0.0033406672737704246,6,3,29
KINASE ACTIVATOR ACTIVITY,0.004723939900449266,5,3,29
SERINE THREONINE KINASE,0.0037385853592727634,5,3,29
CYSTEINE TYPE ENDOPEPTIDASE,0.0054852514486813785,4,3,29
ACTIVITY INVOLVED APOPTOTIC,0.003906396058690339,4,3,29
INVOLVED APOPTOTIC PROCESS,0.003906396058690339,4,3,29
ENDOPEPTIDASE INHIBITOR ACTIVITY,0.009335516887254548,3,3,29
LIGHT STIMULUS,0.09016431265358481,4,2,30
CELLULAR RESPONSE,0.08330217873612022,4,2,30
RESPONSE,0.05916500744677467,7,1,30
LIGHT,0.08050652981394883,6,1,30
ACTIVITY,0.011020622616750053,6,1,30
STIMULUS,0.07254802625167231,5,1,30
CELLULAR,0.08330217873612022,4,1,30
CYCLASE,0.007106173608310308,4,1,30
DETECTION,0.08623010236560213,3,1,30
PHOTOTRANSDUCTION,0.06526217808273582,3,1,30
RESPONSE OXIDATIVE STRESS,0.059043591648867785,5,3,31
REGULATION CELLULAR RESPONSE,0.0218729068297049,5,3,31
RESPONSE HYDROGEN PEROXIDE,0.0732085597052486,3,3,31
REGULATION RESPONSE OXIDATIVE,0.05226528525382166,3,3,31
CELLULAR RESPONSE DRUG,0.03475637349982348,3,3,31
CELLULAR RESPONSE,0.03682691647630386,13,2,31
NEGATIVE REGULATION,0.025274757865609607,6,2,31
OXIDATIVE STRESS,0.059043591648867785,5,2,31
RESPONSE OXIDATIVE,0.059043591648867785,5,2,31
REGULATION CELLULAR,0.0218729068297049,5,2,31
N ACETYLTRANSFERASE ACTIVITY,0.0955070530474473,4,3,32
ACETYLTRANSFERASE ACTIVITY,0.09185901807327378,7,2,32
N ACETYLTRANSFERASE,0.0955070530474473,4,2,32
SURFACTANT METABOLISM,3.708460802939658e-05,3,2,32
ACTIVITY,0.0908679747149901,11,1,32
ACETYLTRANSFERASE,0.09185901807327378,7,1,32
N,0.11547661598658247,5,1,32
METABOLISM,3.708460802939658e-05,3,1,32
SURFACTANT,3.708460802939658e-05,3,1,32
HISTONE METHYLTRANSFERASE ACTIVITY,0.022432714638628393,6,3,33
N METHYLTRANSFERASE ACTIVITY,0.0537576492545583,5,3,33
METHYLTRANSFERASE ACTIVITY H3,0.01332161657316015,4,3,33
METHYLTRANSFERASE ACTIVITY,0.028170098765505584,26,2,33
HISTONE METHYLTRANSFERASE,0.022432714638628393,6,2,33
N METHYLTRANSFERASE,0.0537576492545583,5,2,33
ACTIVITY H3,0.01332161657316015,4,2,33
RNA POLYMERASE,0.0011184294278268087,4,2,33
ACTIVITY,0.029605021094271752,29,1,33
METHYLTRANSFERASE,0.028170098765505584,26,1,33
PROTEIN KINASE ACTIVITY,0.07582378996087982,5,3,34
PROTEIN TYROSINE KINASE,0.14072450410873677,3,3,34
TYROSINE KINASE ACTIVITY,0.14072450410873677,3,3,34
DEPENDENT PROTEIN KINASE,0.015817515832146075,3,3,34
KINASE ACTIVITY,0.07944036932773592,12,2,34
PROTEIN KINASE,0.06497718779301156,6,2,34
KINASE KINASE,0.013065311661001371,4,2,34
PROTEIN TYROSINE,0.14072450410873677,3,2,34
TYROSINE KINASE,0.14072450410873677,3,2,34
DEPENDENT PROTEIN,0.015817515832146075,3,2,34
DOMAIN BINDING,0.17579988413160044,4,2,35
BINDING,0.1645742714899368,6,1,35
DOMAIN,0.1645742714899368,6,1,35
