kmer,hubness,count,k,community,count_fraction
OXIDIZING,0.0005800648832655957,3,1,1,0.006097560975609756
DEFECTS,0.0005555218668958852,3,1,1,0.006097560975609756
RETINAL,0.0005220311245736933,3,1,1,0.006097560975609756
EICOSATETRAENOIC,0.0005122835610445311,3,1,1,0.006097560975609756
ISOMERASE,0.00048759094161819925,3,1,1,0.006097560975609756
PHENYLALANINE,0.00047653795796710855,3,1,1,0.006097560975609756
LONG,0.0003894759523542496,3,1,1,0.006097560975609756
DERIVATIVES,0.0003716807264264833,3,1,1,0.006097560975609756
FOLATE,0.00034388691855054493,3,1,1,0.006097560975609756
5,0.000342045123441004,3,1,1,0.006097560975609756
BONDS,0.0003058379777873617,3,1,1,0.006097560975609756
KETONE,0.0002189951735956239,3,1,1,0.006097560975609756
OXIDOREDUCTASE ACTIVITY,0.0035453642131173437,45,2,1,0.09146341463414634
ACTIVITY ACTING,0.0032370698329205008,37,2,1,0.07520325203252033
BIOSYNTHETIC PROCESS,0.0008676039855665935,26,2,1,0.052845528455284556
METABOLIC PROCESS,0.0013859116127933051,24,2,1,0.04878048780487805
GROUP DONORS,0.0022408512146816053,18,2,1,0.036585365853658534
DEHYDROGENASE ACTIVITY,0.0018310264028536642,18,2,1,0.036585365853658534
CATABOLIC PROCESS,0.0011544515141321406,18,2,1,0.036585365853658534
ACTING CH,0.002292864412248614,11,2,1,0.022357723577235773
ACID BINDING,0.0012478865653638858,11,2,1,0.022357723577235773
LYASE ACTIVITY,0.0005248690499997237,11,2,1,0.022357723577235773
BETA OXIDATION,0.000518085871265367,10,2,1,0.02032520325203252
NAD P,0.00500510038451234,9,2,1,0.018292682926829267
MOLECULAR OXYGEN,0.004337137950716384,8,2,1,0.016260162601626018
FATTY ACID,0.001623728686979925,8,2,1,0.016260162601626018
AMINO ACID,0.0006321327226304343,8,2,1,0.016260162601626018
TRANSFERASE ACTIVITY,0.0005040956419506496,8,2,1,0.016260162601626018
HYDROLASE ACTIVITY,0.0002537461552386416,8,2,1,0.016260162601626018
P H,0.0061864971721279785,7,2,1,0.014227642276422764
DONORS INCORPORATION,0.00490471063677006,7,2,1,0.014227642276422764
ACTING PAIRED,0.004707565535304221,7,2,1,0.014227642276422764
PAIRED DONORS,0.004707565535304221,7,2,1,0.014227642276422764
REDUCTION MOLECULAR,0.004707565535304221,7,2,1,0.014227642276422764
ACID METABOLISM,0.002605377879490605,7,2,1,0.014227642276422764
DEMETHYLASE ACTIVITY,0.0008491638943761062,7,2,1,0.014227642276422764
CONTAINING COMPOUND,0.000547401000362828,7,2,1,0.014227642276422764
INCORPORATION REDUCTION,0.005431471599798149,6,2,1,0.012195121951219513
DIOXYGENASE ACTIVITY,0.0023206371980309805,6,2,1,0.012195121951219513
ACTING NAD,0.007285976901498426,5,2,1,0.01016260162601626
ATOM OXYGEN,0.003184988041195024,5,2,1,0.01016260162601626
DONOR INCORPORATION,0.003184988041195024,5,2,1,0.01016260162601626
INCORPORATION ONE,0.003184988041195024,5,2,1,0.01016260162601626
ONE ATOM,0.003184988041195024,5,2,1,0.01016260162601626
ONE DONOR,0.003184988041195024,5,2,1,0.01016260162601626
DONORS NAD,0.0018629114031959066,5,2,1,0.01016260162601626
NAD NADP,0.0017281396928286448,5,2,1,0.01016260162601626
NADP ACCEPTOR,0.0017281396928286448,5,2,1,0.01016260162601626
FATTY ACIDS,0.0011307024770451258,5,2,1,0.01016260162601626
OXYGEN ACCEPTOR,0.0007737550860611921,5,2,1,0.01016260162601626
REDUCTASE ACTIVITY,0.0006648621004659244,5,2,1,0.01016260162601626
HISTONE DEMETHYLASE,0.0006546017004880882,5,2,1,0.01016260162601626
COMPOUND BIOSYNTHETIC,0.0004768896364803459,5,2,1,0.01016260162601626
ELECTRON TRANSPORT,0.023804747441045007,4,2,1,0.008130081300813009
RESPIRATORY ELECTRON,0.023804747441045007,4,2,1,0.008130081300813009
TCA CYCLE,0.007591628066940271,4,2,1,0.008130081300813009
ION BINDING,0.006098873966342168,4,2,1,0.008130081300813009
MONOOXYGENASE ACTIVITY,0.005518238935188063,4,2,1,0.008130081300813009
ARACHIDONIC ACID,0.0031823442413592556,4,2,1,0.008130081300813009
ACIDS BILE,0.0025067890719075977,4,2,1,0.008130081300813009
BILE ACIDS,0.0025067890719075977,4,2,1,0.008130081300813009
BILE SALTS,0.0025067890719075977,4,2,1,0.008130081300813009
SYNTHESIS BILE,0.0025067890719075977,4,2,1,0.008130081300813009
OXYGEN REDUCED,0.002482611205259459,4,2,1,0.008130081300813009
CH CH,0.0021421710035059048,4,2,1,0.008130081300813009
CH GROUP,0.0021421710035059048,4,2,1,0.008130081300813009
DISULFIDE OXIDOREDUCTASE,0.001178738400930278,4,2,1,0.008130081300813009
ACTING SULFUR,0.0011241435816566076,4,2,1,0.008130081300813009
SULFUR GROUP,0.0011241435816566076,4,2,1,0.008130081300813009
OXIDASE ACTIVITY,0.000741457506489865,4,2,1,0.008130081300813009
ACYL COA,0.0007267861054664702,4,2,1,0.008130081300813009
ACTIVITY TRANSFERRING,0.0005645967422059665,4,2,1,0.008130081300813009
ACTIVITY H3,0.0004911550338537292,4,2,1,0.008130081300813009
CITRIC ACID,0.00930810833727227,3,2,1,0.006097560975609756
CYTOCHROME P450,0.008061564795697635,3,2,1,0.006097560975609756
HORMONE METABOLIC,0.00304038620121982,3,2,1,0.006097560975609756
ALCOHOL METABOLIC,0.0023883524190645975,3,2,1,0.006097560975609756
PYRUVATE METABOLISM,0.0023653010571786782,3,2,1,0.006097560975609756
SALTS VIA,0.0023303380482737075,3,2,1,0.006097560975609756
ACTING ALDEHYDE,0.0022183784710438754,3,2,1,0.006097560975609756
ALDEHYDE OXO,0.0022183784710438754,3,2,1,0.006097560975609756
OXO GROUP,0.0022183784710438754,3,2,1,0.006097560975609756
STEROID DEHYDROGENASE,0.0019969413447169498,3,2,1,0.006097560975609756
BILE ACID,0.0018632063221523437,3,2,1,0.006097560975609756
ALCOHOL DEHYDROGENASE,0.0014777339563421478,3,2,1,0.006097560975609756
RETINOIC ACID,0.0013419695375834599,3,2,1,0.006097560975609756
PROTEIN IMPORT,0.0011445517388921828,3,2,1,0.006097560975609756
DEHYDROGENASE NAD,0.000963891034594602,3,2,1,0.006097560975609756
SOLUBLE VITAMIN,0.000822240307588463,3,2,1,0.006097560975609756
ACID BETA,0.0007885725154688772,3,2,1,0.006097560975609756
MITOCHONDRIAL FATTY,0.0007885725154688772,3,2,1,0.006097560975609756
ALDEHYDE DEHYDROGENASE,0.0007193591898356227,3,2,1,0.006097560975609756
DONORS OXYGEN,0.0006485859734337165,3,2,1,0.006097560975609756
ACTIVITY OXIDIZING,0.0005800648832655957,3,2,1,0.006097560975609756
METAL IONS,0.0005800648832655957,3,2,1,0.006097560975609756
OXIDIZING METAL,0.0005800648832655957,3,2,1,0.006097560975609756
ISOMERASE ACTIVITY,0.00048759094161819925,3,2,1,0.006097560975609756
INTRAMOLECULAR OXIDOREDUCTASE,0.00045483190856160843,3,2,1,0.006097560975609756
CHAIN FATTY,0.0003894759523542496,3,2,1,0.006097560975609756
LONG CHAIN,0.0003894759523542496,3,2,1,0.006097560975609756
COA HYDROLASE,0.0003132053756334053,3,2,1,0.006097560975609756
ACYL GROUPS,0.00012671408107044535,3,2,1,0.006097560975609756
OXIDOREDUCTASE ACTIVITY ACTING,0.003523454182783758,33,3,1,0.06707317073170732
ACTIVITY ACTING CH,0.002292864412248614,11,3,1,0.022357723577235773
NAD P H,0.0061864971721279785,7,3,1,0.014227642276422764
ACTING PAIRED DONORS,0.004707565535304221,7,3,1,0.014227642276422764
ACTIVITY ACTING PAIRED,0.004707565535304221,7,3,1,0.014227642276422764
REDUCTION MOLECULAR OXYGEN,0.004707565535304221,7,3,1,0.014227642276422764
DONORS INCORPORATION REDUCTION,0.005431471599798149,6,3,1,0.012195121951219513
INCORPORATION REDUCTION MOLECULAR,0.005431471599798149,6,3,1,0.012195121951219513
PAIRED DONORS INCORPORATION,0.005431471599798149,6,3,1,0.012195121951219513
ACTING NAD P,0.007285976901498426,5,3,1,0.01016260162601626
ACTIVITY ACTING NAD,0.007285976901498426,5,3,1,0.01016260162601626
DONOR INCORPORATION ONE,0.003184988041195024,5,3,1,0.01016260162601626
INCORPORATION ONE ATOM,0.003184988041195024,5,3,1,0.01016260162601626
ONE ATOM OXYGEN,0.003184988041195024,5,3,1,0.01016260162601626
ONE DONOR INCORPORATION,0.003184988041195024,5,3,1,0.01016260162601626
GROUP DONORS NAD,0.0018629114031959066,5,3,1,0.01016260162601626
NAD NADP ACCEPTOR,0.0017281396928286448,5,3,1,0.01016260162601626
HISTONE DEMETHYLASE ACTIVITY,0.0006546017004880882,5,3,1,0.01016260162601626
COMPOUND BIOSYNTHETIC PROCESS,0.0004768896364803459,5,3,1,0.01016260162601626
RESPIRATORY ELECTRON TRANSPORT,0.023804747441045007,4,3,1,0.008130081300813009
ACIDS BILE SALTS,0.0025067890719075977,4,3,1,0.008130081300813009
BILE ACIDS BILE,0.0025067890719075977,4,3,1,0.008130081300813009
SYNTHESIS BILE ACIDS,0.0025067890719075977,4,3,1,0.008130081300813009
MOLECULAR OXYGEN REDUCED,0.002482611205259459,4,3,1,0.008130081300813009
ACTING CH CH,0.0021421710035059048,4,3,1,0.008130081300813009
CH CH GROUP,0.0021421710035059048,4,3,1,0.008130081300813009
CH GROUP DONORS,0.0021421710035059048,4,3,1,0.008130081300813009
DONORS NAD NADP,0.0020608927831236618,4,3,1,0.008130081300813009
DISULFIDE OXIDOREDUCTASE ACTIVITY,0.001178738400930278,4,3,1,0.008130081300813009
ACTING SULFUR GROUP,0.0011241435816566076,4,3,1,0.008130081300813009
ACTIVITY ACTING SULFUR,0.0011241435816566076,4,3,1,0.008130081300813009
SULFUR GROUP DONORS,0.0011241435816566076,4,3,1,0.008130081300813009
TRANSFERASE ACTIVITY TRANSFERRING,0.0005645967422059665,4,3,1,0.008130081300813009
CONTAINING COMPOUND BIOSYNTHETIC,0.0005465768113443016,4,3,1,0.008130081300813009
DEMETHYLASE ACTIVITY H3,0.0004911550338537292,4,3,1,0.008130081300813009
HORMONE METABOLIC PROCESS,0.00304038620121982,3,3,1,0.006097560975609756
ALCOHOL METABOLIC PROCESS,0.0023883524190645975,3,3,1,0.006097560975609756
BILE SALTS VIA,0.0023303380482737075,3,3,1,0.006097560975609756
ACTING ALDEHYDE OXO,0.0022183784710438754,3,3,1,0.006097560975609756
ACTIVITY ACTING ALDEHYDE,0.0022183784710438754,3,3,1,0.006097560975609756
ALDEHYDE OXO GROUP,0.0022183784710438754,3,3,1,0.006097560975609756
OXO GROUP DONORS,0.0022183784710438754,3,3,1,0.006097560975609756
STEROID DEHYDROGENASE ACTIVITY,0.0019969413447169498,3,3,1,0.006097560975609756
ACID BETA OXIDATION,0.0007885725154688772,3,3,1,0.006097560975609756
FATTY ACID BETA,0.0007885725154688772,3,3,1,0.006097560975609756
MITOCHONDRIAL FATTY ACID,0.0007885725154688772,3,3,1,0.006097560975609756
DONORS OXYGEN ACCEPTOR,0.0006485859734337165,3,3,1,0.006097560975609756
GROUP DONORS OXYGEN,0.0006485859734337165,3,3,1,0.006097560975609756
ACTIVITY OXIDIZING METAL,0.0005800648832655957,3,3,1,0.006097560975609756
OXIDIZING METAL IONS,0.0005800648832655957,3,3,1,0.006097560975609756
OXIDOREDUCTASE ACTIVITY OXIDIZING,0.0005800648832655957,3,3,1,0.006097560975609756
INTRAMOLECULAR OXIDOREDUCTASE ACTIVITY,0.00045483190856160843,3,3,1,0.006097560975609756
LONG CHAIN FATTY,0.0003894759523542496,3,3,1,0.006097560975609756
COA HYDROLASE ACTIVITY,0.0003132053756334053,3,3,1,0.006097560975609756
BINDING,0.003298503991422268,11,1,2,0.022357723577235773
ACTIVITY,0.0010245919567592272,11,1,2,0.022357723577235773
PROTEINS,0.021435921379126918,9,1,2,0.018292682926829267
SUMOYLATION,0.020658291455830476,9,1,2,0.018292682926829267
NUCLEAR,0.013951787229150294,9,1,2,0.018292682926829267
TRANSPORT,0.019141109187457938,8,1,2,0.016260162601626018
REGULATION,0.0156860511240298,8,1,2,0.016260162601626018
CELLULAR,0.019162573409107958,7,1,2,0.014227642276422764
PROCESSING,0.008826645793988997,7,1,2,0.014227642276422764
RESPONSE,0.021414182105258837,6,1,2,0.012195121951219513
PROCESS,0.007661212997285703,6,1,2,0.012195121951219513
PROTEIN,0.007085004123995449,6,1,2,0.012195121951219513
METABOLISM,0.011940369149004076,5,1,2,0.01016260162601626
MRNA,0.008898296861569784,5,1,2,0.01016260162601626
CARBOHYDRATE,0.008880683338162677,5,1,2,0.01016260162601626
PRE,0.003989843729450325,5,1,2,0.01016260162601626
SUMO,0.000580817111230822,5,1,2,0.01016260162601626
FRUCTOSE,0.00042924812937818375,5,1,2,0.01016260162601626
PHOSPHATE,0.00034507740900830634,5,1,2,0.01016260162601626
HEAT,0.023437263204842334,4,1,2,0.008130081300813009
RNA,0.018400303902410785,4,1,2,0.008130081300813009
CONTAINING,0.009833517506358216,4,1,2,0.008130081300813009
6,0.00039418381171216156,4,1,2,0.008130081300813009
MATURE,0.024770860479425495,3,1,2,0.006097560975609756
HOST,0.024677188503925546,3,1,2,0.006097560975609756
INTERACTIONS,0.024677188503925546,3,1,2,0.006097560975609756
NUCLEUS,0.018243212697218632,3,1,2,0.006097560975609756
PORE,0.016874389261507628,3,1,2,0.006097560975609756
DNA,0.015636284521271502,3,1,2,0.006097560975609756
ORGANIZATION,0.012657859904294043,3,1,2,0.006097560975609756
HSF1,0.00927033162404053,3,1,2,0.006097560975609756
INTRONLESS,0.009096194777521691,3,1,2,0.006097560975609756
MRNAS,0.008853047453778334,3,1,2,0.006097560975609756
COMPLEX,0.008803530942765299,3,1,2,0.006097560975609756
GLUCOSE,0.007519423907604703,3,1,2,0.006097560975609756
METABOLIC,0.0062801183259873885,3,1,2,0.006097560975609756
SIGNAL,0.00214036261401219,3,1,2,0.006097560975609756
LOCALIZATION,0.002102821854017676,3,1,2,0.006097560975609756
DEPENDENT,0.001206091097599258,3,1,2,0.006097560975609756
CELLULAR RESPONSE,0.020728311323358454,4,2,2,0.008130081300813009
RESPONSE HEAT,0.023462631363738023,3,2,2,0.006097560975609756
NUCLEAR PORE,0.016874389261507628,3,2,2,0.006097560975609756
SUMOYLATION DNA,0.015636284521271502,3,2,2,0.006097560975609756
METABOLIC PROCESS,0.0062801183259873885,3,2,2,0.006097560975609756
PRE MRNA,0.006108141113756085,3,2,2,0.006097560975609756
6 PHOSPHATE,0.0003624087491006629,3,2,2,0.006097560975609756
CELLULAR RESPONSE HEAT,0.023462631363738023,3,3,2,0.006097560975609756
ACTIVITY,0.003011117189538676,112,1,3,0.22764227642276422
PROCESS,0.00793275715486118,32,1,3,0.06504065040650407
PHOSPHATASE,0.004304445691020164,29,1,3,0.05894308943089431
PHOSPHATE,0.005015571747210085,18,1,3,0.036585365853658534
METABOLISM,0.00956825364032034,16,1,3,0.032520325203252036
PHOSPHATIDYLINOSITOL,0.005789121580239017,16,1,3,0.032520325203252036
SYNTHESIS,0.005273891439645968,16,1,3,0.032520325203252036
KINASE,0.0019093131085294022,16,1,3,0.032520325203252036
ACID,0.0016567861920866683,15,1,3,0.03048780487804878
BIOSYNTHETIC,0.010366291419368125,13,1,3,0.026422764227642278
METABOLIC,0.0076648691600891584,13,1,3,0.026422764227642278
LIGASE,0.0005038230794531439,12,1,3,0.024390243902439025
5,0.003109381628204744,11,1,3,0.022357723577235773
INOSITOL,0.0052519482763294986,10,1,3,0.02032520325203252
PROTEIN,0.0026968276164428193,10,1,3,0.02032520325203252
PHOSPHOLIPASE,0.007130683743078226,9,1,3,0.018292682926829267
CHAIN,0.005824575915992674,9,1,3,0.018292682926829267
NUCLEOBASE,0.0015904536138972992,9,1,3,0.018292682926829267
COA,0.0006585581848204266,9,1,3,0.018292682926829267
ACYL,0.006626469972060283,8,1,3,0.016260162601626018
BIOSYNTHESIS,0.0055864580615825245,8,1,3,0.016260162601626018
PURINE,0.002674664556592881,8,1,3,0.016260162601626018
FATTY,0.0016946698045722409,8,1,3,0.016260162601626018
HYDROLASE,0.005728267929999402,7,1,3,0.014227642276422764
COMPOUND,0.0034726398897994494,7,1,3,0.014227642276422764
CATABOLIC,0.002849199953998758,7,1,3,0.014227642276422764
3,0.001738941783077624,7,1,3,0.014227642276422764
NUCLEOSIDE,0.0008547321624358757,7,1,3,0.014227642276422764
CARBON,0.0005199269168853824,7,1,3,0.014227642276422764
MEMBRANE,0.006300496131226016,6,1,3,0.012195121951219513
CONTAINING,0.004484076847298685,6,1,3,0.012195121951219513
ACYLTRANSFERASE,0.003570267303036979,6,1,3,0.012195121951219513
GPI,0.0025641982565456915,6,1,3,0.012195121951219513
PYRIMIDINE,0.0014348480282083236,6,1,3,0.012195121951219513
BONDS,0.0005615144017373796,6,1,3,0.012195121951219513
NITROGEN,0.00045505590638245417,6,1,3,0.012195121951219513
DIPHOSPHATASE,0.00042603431475087,6,1,3,0.012195121951219513
REMODELLING,0.009776547234622016,5,1,3,0.01016260162601626
PIPS,0.0074213671692298176,5,1,3,0.01016260162601626
BISPHOSPHATE,0.005412668233795872,5,1,3,0.01016260162601626
4,0.003511189322324525,5,1,3,0.01016260162601626
1,0.003381385776653316,5,1,3,0.01016260162601626
CYCLIC,0.0009008450316485225,5,1,3,0.01016260162601626
DEAMINASE,0.00022336251742417459,5,1,3,0.01016260162601626
A2,0.00828024302324026,4,1,3,0.008130081300813009
LIPID,0.006710579102703371,4,1,3,0.008130081300813009
SIGNALING,0.00467728411548273,4,1,3,0.008130081300813009
SERINE,0.0033182426958842056,4,1,3,0.008130081300813009
THREONINE,0.0033182426958842056,4,1,3,0.008130081300813009
DEPENDENT,0.002715276128193506,4,1,3,0.008130081300813009
LONG,0.0021008931272165927,4,1,3,0.008130081300813009
ANCHOR,0.0018472457539624695,4,1,3,0.008130081300813009
NUCLEOTIDE,0.0014867645109768607,4,1,3,0.008130081300813009
HYDROLYSIS,0.001417904375660516,4,1,3,0.008130081300813009
CATABOLISM,0.001322123826679462,4,1,3,0.008130081300813009
PHOSPHODIESTERASE,0.0010753389642716854,4,1,3,0.008130081300813009
N,0.0007502649406047334,4,1,3,0.008130081300813009
ACTING,0.0004170814512466991,4,1,3,0.008130081300813009
PEPTIDE,0.0004170814512466991,4,1,3,0.008130081300813009
BINDING,0.00028314385033667046,4,1,3,0.008130081300813009
PHOSPHOLIPID,0.03365644936082173,3,1,3,0.006097560975609756
GLYCEROLIPID,0.023266375889152566,3,1,3,0.006097560975609756
GLYCEROPHOSPHOLIPID,0.017063870053494187,3,1,3,0.006097560975609756
PI,0.011689508226397034,3,1,3,0.006097560975609756
TYROSINE,0.005572558635308155,3,1,3,0.006097560975609756
CYTOSOL,0.004454211432145038,3,1,3,0.006097560975609756
2,0.0037734416818496065,3,1,3,0.006097560975609756
CALCIUM,0.003706844568361662,3,1,3,0.006097560975609756
RIBOSE,0.0031351417328789304,3,1,3,0.006097560975609756
MONOPHOSPHATE,0.0029037892241346205,3,1,3,0.006097560975609756
TRISPHOSPHATE,0.002154062623238037,3,1,3,0.006097560975609756
PROTEINS,0.0014287523293737895,3,1,3,0.006097560975609756
SALVAGE,0.0011561413904234896,3,1,3,0.006097560975609756
PANTOTHENATE,0.000405419379983704,3,1,3,0.006097560975609756
ADENOSINE,7.638770339731972e-05,3,1,3,0.006097560975609756
PHOSPHATASE ACTIVITY,0.004304445691020164,29,2,3,0.05894308943089431
KINASE ACTIVITY,0.0019456005967649344,15,2,3,0.03048780487804878
BIOSYNTHETIC PROCESS,0.010366291419368125,13,2,3,0.026422764227642278
METABOLIC PROCESS,0.008261836735481741,12,2,3,0.024390243902439025
LIGASE ACTIVITY,0.0005038230794531439,12,2,3,0.024390243902439025
HYDROLASE ACTIVITY,0.005728267929999402,7,2,3,0.014227642276422764
CATABOLIC PROCESS,0.002849199953998758,7,2,3,0.014227642276422764
