pathway,label,category
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,8.0,REACTOME_DISEASE
REACTOME_SIGNALING_BY_SCF_KIT,24.0,Signal Transduction
REACTOME_DEVELOPMENTAL_BIOLOGY,0.0,REACTOME_AUTOPHAGY
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,14.0,Immune System
REACTOME_SIGNALING_BY_NODAL,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_DAG_AND_IP3_SIGNALING,24.0,Signal Transduction
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,24.0,Signal Transduction
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,14.0,Immune System
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,14.0,Immune System
REACTOME_CELL_CELL_COMMUNICATION,0.0,REACTOME_AUTOPHAGY
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,14.0,Immune System
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,15.0,Metabolism
REACTOME_MEIOSIS,23.0,REACTOME_REPRODUCTION
REACTOME_G0_AND_EARLY_G1,1.0,REACTOME_CELL_CYCLE
REACTOME_REGULATION_OF_KIT_SIGNALING,24.0,Signal Transduction
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,8.0,REACTOME_DISEASE
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,14.0,Immune System
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,15.0,Metabolism
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,15.0,Metabolism
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,26.0,REACTOME_VESICLE_MEDIATED_TRANSPORT
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,9.0,REACTOME_DNA_REPAIR
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,16.0,Metabolism of proteins
REACTOME_CELL_CYCLE,0.0,REACTOME_AUTOPHAGY
REACTOME_SIGNALING_BY_ERBB4,24.0,Signal Transduction
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,10.0,REACTOME_DNA_REPLICATION
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,16.0,Metabolism of proteins
REACTOME_SULFUR_AMINO_ACID_METABOLISM,15.0,Metabolism
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,14.0,Immune System
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,14.0,Immune System
REACTOME_SIGNALING_BY_ERBB2,24.0,Signal Transduction
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,15.0,Metabolism
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,16.0,Metabolism of proteins
REACTOME_DEFENSINS,14.0,Immune System
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,24.0,Signal Transduction
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,8.0,REACTOME_DISEASE
REACTOME_BETA_DEFENSINS,14.0,Immune System
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,16.0,Metabolism of proteins
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,24.0,Signal Transduction
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,24.0,Signal Transduction
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,24.0,Signal Transduction
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,24.0,Signal Transduction
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,15.0,Metabolism
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,11.0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,22.0,REACTOME_PROTEIN_LOCALIZATION
REACTOME_SIGNALING_BY_HIPPO,24.0,Signal Transduction
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,24.0,Signal Transduction
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,14.0,Immune System
REACTOME_SIGNALING_BY_NOTCH4,24.0,Signal Transduction
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,14.0,Immune System
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,14.0,Immune System
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,12.0,REACTOME_GENE_EXPRESSION_TRANSCRIPTION
REACTOME_SIGNALING_BY_NOTCH2,24.0,Signal Transduction
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,24.0,Signal Transduction
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,14.0,Immune System
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.0,REACTOME_AUTOPHAGY
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,24.0,Signal Transduction
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,24.0,Signal Transduction
REACTOME_SIGNALING_BY_NOTCH1,24.0,Signal Transduction
REACTOME_SIGNALING_BY_NOTCH3,24.0,Signal Transduction
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,15.0,Metabolism
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE,24.0,Signal Transduction
REACTOME_ARMS_MEDIATED_ACTIVATION,24.0,Signal Transduction
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS,24.0,Signal Transduction
REACTOME_SIGNALLING_TO_RAS,24.0,Signal Transduction
REACTOME_SIGNALING_BY_BMP,24.0,Signal Transduction
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,13.0,REACTOME_HEMOSTASIS
REACTOME_SIGNALLING_TO_ERKS,24.0,Signal Transduction
REACTOME_P38MAPK_EVENTS,24.0,Signal Transduction
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,15.0,Metabolism
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,24.0,Signal Transduction
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,24.0,Signal Transduction
REACTOME_COLLAGEN_FORMATION,11.0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE,8.0,REACTOME_DISEASE
REACTOME_HS_GAG_DEGRADATION,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,15.0,Metabolism
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN,24.0,Signal Transduction
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,15.0,Metabolism
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,24.0,Signal Transduction
REACTOME_PHOSPHOLIPID_METABOLISM,15.0,Metabolism
REACTOME_CS_DS_DEGRADATION,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PA,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PE,15.0,Metabolism
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK,24.0,Signal Transduction
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,15.0,Metabolism
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,15.0,Metabolism
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES,16.0,Metabolism of proteins
REACTOME_HYALURONAN_METABOLISM,15.0,Metabolism
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,15.0,Metabolism
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,15.0,Metabolism
REACTOME_PI_METABOLISM,15.0,Metabolism
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,15.0,Metabolism
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,15.0,Metabolism
REACTOME_SYNTHESIS_OF_PC,15.0,Metabolism
REACTOME_HS_GAG_BIOSYNTHESIS,15.0,Metabolism
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,15.0,Metabolism
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,21.0,REACTOME_PROGRAMMED_CELL_DEATH
REACTOME_KERATAN_SULFATE_DEGRADATION,15.0,Metabolism
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,15.0,Metabolism
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,15.0,Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,15.0,Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,15.0,Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,15.0,Metabolism
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,14.0,Immune System
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,15.0,Metabolism
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,15.0,Metabolism
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,10.0,REACTOME_DNA_REPLICATION
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,13.0,REACTOME_HEMOSTASIS
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS,24.0,Signal Transduction
REACTOME_MICRORNA_MIRNA_BIOGENESIS,12.0,REACTOME_GENE_EXPRESSION_TRANSCRIPTION
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,24.0,Signal Transduction
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING,24.0,Signal Transduction
REACTOME_ERKS_ARE_INACTIVATED,24.0,Signal Transduction
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,24.0,Signal Transduction
REACTOME_PI3K_AKT_ACTIVATION,24.0,Signal Transduction
REACTOME_EGFR_DOWNREGULATION,24.0,Signal Transduction
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_PECAM1_INTERACTIONS,13.0,REACTOME_HEMOSTASIS
REACTOME_TCR_SIGNALING,14.0,Immune System
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX,15.0,Metabolism
REACTOME_DOWNSTREAM_TCR_SIGNALING,14.0,Immune System
REACTOME_BASIGIN_INTERACTIONS,13.0,REACTOME_HEMOSTASIS
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,24.0,Signal Transduction
REACTOME_GAB1_SIGNALOSOME,24.0,Signal Transduction
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,24.0,Signal Transduction
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,16.0,Metabolism of proteins
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,14.0,Immune System
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,14.0,Immune System
REACTOME_TIE2_SIGNALING,13.0,REACTOME_HEMOSTASIS
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,14.0,Immune System
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,12.0,REACTOME_GENE_EXPRESSION_TRANSCRIPTION
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,15.0,Metabolism
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,15.0,Metabolism
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,1.0,REACTOME_CELL_CYCLE
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES,24.0,Signal Transduction
REACTOME_BIOLOGICAL_OXIDATIONS,15.0,Metabolism
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,24.0,Signal Transduction
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,21.0,REACTOME_PROGRAMMED_CELL_DEATH
REACTOME_XENOBIOTICS,15.0,Metabolism
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,11.0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,15.0,Metabolism
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,21.0,REACTOME_PROGRAMMED_CELL_DEATH
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,24.0,Signal Transduction
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS,24.0,Signal Transduction
REACTOME_REGULATION_OF_APOPTOSIS,21.0,REACTOME_PROGRAMMED_CELL_DEATH
REACTOME_NEURONAL_SYSTEM,0.0,REACTOME_AUTOPHAGY
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,24.0,Signal Transduction
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,24.0,Signal Transduction
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,25.0,REACTOME_TRANSPORT_OF_SMALL_MOLECULES
REACTOME_ENDOGENOUS_STEROLS,15.0,Metabolism
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_GLYCOLYSIS,15.0,Metabolism
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND,10.0,REACTOME_DNA_REPLICATION
REACTOME_MRNA_CAPPING,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,15.0,Metabolism
REACTOME_SIGNALING_BY_GPCR,24.0,Signal Transduction
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,24.0,Signal Transduction
REACTOME_METABOLISM_OF_POLYAMINES,15.0,Metabolism
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,12.0,REACTOME_GENE_EXPRESSION_TRANSCRIPTION
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,15.0,Metabolism
REACTOME_CELL_CYCLE_MITOTIC,1.0,REACTOME_CELL_CYCLE
REACTOME_GLUCONEOGENESIS,15.0,Metabolism
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_OPIOID_SIGNALLING,24.0,Signal Transduction
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,16.0,Metabolism of proteins
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,16.0,Metabolism of proteins
REACTOME_CA_DEPENDENT_EVENTS,24.0,Signal Transduction
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,24.0,Signal Transduction
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,24.0,Signal Transduction
REACTOME_DARPP_32_EVENTS,24.0,Signal Transduction
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,24.0,Signal Transduction
REACTOME_CELL_CYCLE_CHECKPOINTS,1.0,REACTOME_CELL_CYCLE
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,24.0,Signal Transduction
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,16.0,Metabolism of proteins
REACTOME_G_PROTEIN_ACTIVATION,24.0,Signal Transduction
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,25.0,REACTOME_TRANSPORT_OF_SMALL_MOLECULES
REACTOME_TRNA_AMINOACYLATION,16.0,Metabolism of proteins
REACTOME_OLFACTORY_SIGNALING_PATHWAY,24.0,Signal Transduction
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,0.0,REACTOME_AUTOPHAGY
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,1.0,REACTOME_CELL_CYCLE
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,12.0,REACTOME_GENE_EXPRESSION_TRANSCRIPTION
REACTOME_G1_PHASE,1.0,REACTOME_CELL_CYCLE
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,15.0,Metabolism
REACTOME_SIGNALING_BY_PDGF,24.0,Signal Transduction
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,16.0,Metabolism of proteins
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC,16.0,Metabolism of proteins
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS,24.0,Signal Transduction
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,13.0,REACTOME_HEMOSTASIS
REACTOME_PROTEIN_FOLDING,16.0,Metabolism of proteins
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,16.0,Metabolism of proteins
REACTOME_PEROXISOMAL_LIPID_METABOLISM,15.0,Metabolism
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,16.0,Metabolism of proteins
REACTOME_STRIATED_MUSCLE_CONTRACTION,18.0,REACTOME_MUSCLE_CONTRACTION
REACTOME_METABOLISM_OF_NUCLEOTIDES,15.0,Metabolism
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,24.0,Signal Transduction
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,24.0,Signal Transduction
REACTOME_MUSCLE_CONTRACTION,0.0,REACTOME_AUTOPHAGY
REACTOME_SEROTONIN_RECEPTORS,24.0,Signal Transduction
REACTOME_MRNA_SPLICING,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_MRNA_SPLICING_MINOR_PATHWAY,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,15.0,Metabolism
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,15.0,Metabolism
REACTOME_NUCLEOTIDE_EXCISION_REPAIR,9.0,REACTOME_DNA_REPAIR
REACTOME_AXON_GUIDANCE,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,24.0,Signal Transduction
REACTOME_P2Y_RECEPTORS,24.0,Signal Transduction
REACTOME_NCAM1_INTERACTIONS,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,24.0,Signal Transduction
REACTOME_REGULATION_OF_INSULIN_SECRETION,15.0,Metabolism
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,24.0,Signal Transduction
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,24.0,Signal Transduction
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,24.0,Signal Transduction
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,24.0,Signal Transduction
REACTOME_FANCONI_ANEMIA_PATHWAY,9.0,REACTOME_DNA_REPAIR
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,19.0,REACTOME_NEURONAL_SYSTEM
REACTOME_PROSTANOID_LIGAND_RECEPTORS,24.0,Signal Transduction
REACTOME_OPSINS,24.0,Signal Transduction
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,25.0,REACTOME_TRANSPORT_OF_SMALL_MOLECULES
REACTOME_CD28_CO_STIMULATION,14.0,Immune System
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,16.0,Metabolism of proteins
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,2.0,REACTOME_CELL_CELL_COMMUNICATION
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_PURINE_SALVAGE,15.0,Metabolism
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,24.0,Signal Transduction
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,14.0,Immune System
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_SEMAPHORIN_INTERACTIONS,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION,6.0,REACTOME_DEVELOPMENTAL_BIOLOGY
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,26.0,REACTOME_VESICLE_MEDIATED_TRANSPORT
REACTOME_SPHINGOLIPID_METABOLISM,15.0,Metabolism
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,24.0,Signal Transduction
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,2.0,REACTOME_CELL_CELL_COMMUNICATION
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS,24.0,Signal Transduction
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,14.0,Immune System
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,14.0,Immune System
REACTOME_TIGHT_JUNCTION_INTERACTIONS,2.0,REACTOME_CELL_CELL_COMMUNICATION
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,25.0,REACTOME_TRANSPORT_OF_SMALL_MOLECULES
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,26.0,REACTOME_VESICLE_MEDIATED_TRANSPORT
REACTOME_CTLA4_INHIBITORY_SIGNALING,14.0,Immune System
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,15.0,Metabolism
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,13.0,REACTOME_HEMOSTASIS
REACTOME_DEADENYLATION_OF_MRNA,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_SIGNAL_AMPLIFICATION,13.0,REACTOME_HEMOSTASIS
REACTOME_ZINC_TRANSPORTERS,25.0,REACTOME_TRANSPORT_OF_SMALL_MOLECULES
REACTOME_METAL_ION_SLC_TRANSPORTERS,25.0,REACTOME_TRANSPORT_OF_SMALL_MOLECULES
